	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO
{443}	[{443}]	{wp_,}	-1.555276689179639	-inf	-inf	-inf	-inf	-inf	-inf	-7.574601996234896	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-0.30755500126447294	-inf	5.56886263349461	-13.975542889299433	-inf	4.5833639995891176	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	1.0433785719121074	-inf	-inf	inf	-inf
{20} {5,81,120} {5}	[{20}, {120, 81, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Masc} {feats_Number=Sing}	-1.4536770157437484	-inf	-inf	-inf	-inf	6.5936530123975166	-inf	-4.148808934000094	-inf	-inf	inf	inf	-inf	3.979267267646552	10.95669249471608	inf	-inf	6.357571660879931	6.736938948671111	-0.7878206903858708	-inf	1.9029682288425387	-inf	-inf	inf	10.835079846750872	-inf	-inf	-inf	-inf	10.152743072536007	inf	10.285739984039514	10.471209329373629	-inf	11.860258420913906	-inf	-inf
{3}	[{3}]	{pos_NOUN}	-39.338240381313256	inf	10.670278624797291	3.781640203031244	-74.8872968776859	10.397965287070006	0.7343412768974169	-5.8382993542231505	-95.86017490866874	10.573760099368851	inf	inf	inf	-4.7987211582315465	inf	inf	4.665654651470287	inf	inf	-42.16401901781447	4.339964609721144	-1.3260736140925191	-34.24041227258557	10.607443270861278	inf	11.96723638145521	1.2721550765505083	7.263941343993539	-20.048784503623196	inf	inf	0.87393149690479	inf	11.021811700130453	0.6501807869173237	7.725363702704405	inf	inf
{2602,2604,2605}	[{2602, 2604, 2605}]	{feats_Mood=Ind,feats_Tense=Pres,feats_VerbForm=Fin}	-11.763236744738506	inf	inf	inf	-inf	-inf	-1.789283656905767	-16.933207573485742	-inf	inf	inf	inf	inf	inf	inf	-inf	inf	2.788111440637346	inf	-1.3423908305944219	-inf	-2.1506764034594075	-inf	inf	inf	inf	-inf	-inf	-inf	inf	-inf	8.60054046445509	-inf	inf	-1.709313678323814	inf	inf	inf
{19,52} {5}	[{19, 52}, {5}]	{lemma_de,wp_▁de} {feats_Number=Sing}	-17.496099447675064	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.2937163984848774	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	1.8132202195060123	-inf	-inf	-inf	-inf	-inf	-inf
{5} {19,20,50,52}	[{5}, {50, 19, 20, 52}]	{feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	-10.702689119513266	inf	5.34873412636812	3.796859579063208	-inf	9.934660510416748	1.0539031850130742	-1.3444468908588945	-27.236216191988458	10.148449834575214	10.730940697983385	10.447515522262183	inf	3.0555917044822394	10.390738624258045	10.579385379630756	10.581826851506037	3.1647209032321704	9.733536420551204	-0.9905589098511716	10.181500656874311	-2.092992785320192	-inf	10.127911264211694	inf	8.125207432552411	0.47015899899894814	inf	-inf	inf	5.346742111816121	7.873763557347231	10.304827643524561	10.198430049830163	1.0553639989037633	10.284614043188785	inf	4.256604873420263
{5,120} {20}	[{120, 5}, {20}]	{feats_Number=Sing,feats_Gender=Masc} {pos_ADP}	-4.024768962195663	inf	10.51265752581001	3.7285801041949425	-inf	10.227866635240593	1.3966255753707197	-1.0920537616460462	-inf	10.425593413734024	inf	11.543003731771641	inf	5.652910361160338	11.713641354157966	inf	inf	7.899893996923987	inf	-0.3719582735547814	10.43073019349962	0.49024525912561606	-inf	10.486598589071344	inf	11.039084408436628	1.4847514457503248	9.290956396506656	-inf	inf	8.806200552001638	4.3090064768754655	10.967598705445699	10.455476169839441	1.4639233691214635	10.938137270414623	inf	7.83165397963755
{19,20,52} {81} {3}	[{19, 20, 52}, {81}, {3}]	{lemma_de,pos_ADP,wp_▁de} {pos_DET} {pos_NOUN}	-15.399735923614438	-inf	inf	-inf	-inf	-inf	-inf	-17.08597199726886	-85.95672903377832	-inf	inf	inf	inf	-inf	inf	-inf	-inf	-inf	3.8275100038726584	-11.565079821821584	-inf	-3.088943655287338	-32.11823236246871	-inf	-inf	-inf	-inf	inf	-inf	inf	4.818676025779373	1.3325833390843977	-inf	-inf	-inf	-inf	-inf	-inf
{5,81} {3,5}	[{81, 5}, {3, 5}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	-31.37239729623358	inf	inf	5.261149393613611	-inf	8.010441174280887	3.2190875645823644	-33.30164511321793	-111.00592201435171	inf	inf	inf	inf	0.6195747221821564	inf	inf	inf	2.116371647950803	10.516671228126981	-22.17332180997098	inf	-7.010562883387631	-81.97692419769314	inf	inf	inf	-2.4618781182872356	-inf	-67.1794087006784	inf	inf	2.9892295313466373	inf	inf	3.4098985026830726	inf	inf	9.90460117108077
{5,80,81,82,83,120} {3,5,120}	[{5, 80, 81, 82, 83, 120}, {120, 3, 5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Gender=Masc} {pos_NOUN,feats_Number=Sing,feats_Gender=Masc}	-3.9417103971844774	inf	inf	4.403747594926771	-inf	7.223654531950704	7.045905991800334	-1.622278171547208	-inf	inf	inf	inf	inf	0.9145124508824009	inf	inf	inf	4.663105360678603	7.4570324256880705	-1.024929253794665	6.413147988971965	0.33838829460614034	-inf	11.833522602723274	inf	inf	-inf	inf	-inf	inf	10.454748787686244	5.223959973771674	inf	inf	7.210932817904558	inf	inf	10.204530558507155
{81} {3} {19,20}	[{81}, {3}, {19, 20}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	-12.24832962892225	inf	10.712368963579168	7.299187981051136	-inf	3.4989594936076553	0.8580812504392841	0.5056646728631169	-inf	10.49005253346257	inf	inf	inf	6.625610883557473	inf	inf	inf	3.4053491521517683	12.455728081198119	-0.7465037045988234	10.539200700770452	-3.0670429464470566	-inf	10.664263499979189	inf	11.138945621059039	0.5526420207945432	inf	-inf	inf	inf	6.573345207407502	11.102451490883396	10.53639457903227	0.9071813743919828	11.880578324182059	inf	9.434917284301985
{101} {37,440,441,443}	[{101}, {440, 441, 443, 37}]	{pos_PROPN} {pos_PUNCT,lemma_,,feats_,,wp_,}	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	inf	-inf	-inf	inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	inf	inf	-inf	-inf	-inf	-inf	-inf	11.902588790089704	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf
